code,industry_code,industry_sub_code,is_main,desc,industry_sub_name,num,industry_name,nk225,nk225hdy,nk225de,nk225ge,jpxnkms,nkcrs50,date,name,category,industry33code,industry33category,industry17code,industry17category,sizecode,sizecategory
5941,33,190,true,【厨房機器の専業】自動洗浄機、炊飯器など大型機器が得意。,業務用厨房機器,6,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,中西製作所,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,0,
6458,33,191,true,【業務用空調機の中堅】大型機種専業。省エネなど技術開発に力。,業務用空調機器,5,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,新晃工業,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
1388,-1,-1,false,"","",-1,,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,ETF・ETN,0,,0,,0,
6414,33,191,true,【空調機とボイラー製造】ビル用空調機や工場用ボイラーが主力。,業務用空調機器,5,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,川重冷熱工業,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,0,
6291,33,191,true,【空気清浄装置】IT、バイオ向けにクリーンルーム製造・販売。,業務用空調機器,5,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本エアーテック,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
5997,33,191,true,【空調機器の製造・販売】ダンパー最大手。冷暖房システムも手掛ける。,業務用空調機器,5,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,協立エアテック,JASDAQ(スタンダード・内国株）,3550,金属製品,3,建設・資材 ,0,
5953,33,191,true,【空調機器中堅】ボイラー、熱処理炉、業務用給湯器の製造販売。,業務用空調機器,5,業務用機械器具,false,false,false,false,false,false,,,,-1,,-1,,-1,
6420,33,192,true,【産業用冷蔵庫大手】居酒屋、回転ずし、スーパーなどに強み。,店舗用機器,3,業務用機械器具,false,false,false,false,true,false,2019-09-30 00:00:00.000000,福島工業,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
6459,33,192,true,【業務用冷蔵庫大手】外食向け中心。全国に販売網を展開。,店舗用機器,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,大和冷機工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
6411,33,192,true,【大型冷機・冷凍ケース大手】スーパーやコンビニ向けが中心。,店舗用機器,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,中野冷機,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,0,
6232,33,193,true,【産業向けドローン】インフラ整備や物流向けを中心に、開発から販売まで手がける。,業務用サービスロボット,1,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,自律制御システム研究所,マザーズ（内国株）,3600,機械,8,機械 ,0,
3105,34,201,true,【綿紡老舗】紡績大手。ブレーキ、化学品など非繊維部門拡大。,通信・ネットワーク機器,19,情報機器・通信機器,true,false,false,false,false,false,2019-09-30 00:00:00.000000,日清紡ホールディングス,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
6703,34,201,true,【通信機大手】ATMなどで高シェア。海外でプリンターを拡販。,通信・ネットワーク機器,19,情報機器・通信機器,true,true,false,false,false,false,2019-09-30 00:00:00.000000,沖電気工業,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
6800,34,201,true,【車載通信機器メーカー】携帯電話向けや回路検査用コネクターも。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ヨコオ,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
